[1, [6, 9, 27, 11]]
[2, [8, 9, 29, 11]]
[3, [7, 5, 30, 10]]
[4, [6, 6, 26, 12]]
[5, [7, 5, 30, 10]]
[6, [7, 5, 30, 10]]
[7, [6, 6, 26, 10]]
[8, [7, 5, 30, 10]]
[9, [7, 5, 30, 10]]
[10, [5, 9, 27, 11]]
[11, [7, 6, 30, 10]]
[12, [5, 7, 26, 11]]
[13, [4, 7, 26, 11]]
[14, [5, 6, 28, 11]]
[15, [6, 6, 27, 11]]
[16, [7, 6, 30, 10]]
[17, [7, 5, 30, 10]]
[18, [5, 7, 29, 11]]
[19, [6, 6, 26, 10]]
[20, [6, 6, 26, 12]]
[21, [7, 6, 30, 10]]
[22, [7, 6, 30, 10]]
[23, [7, 5, 30, 10]]
[24, [5, 7, 26, 11]]
[25, [6, 6, 26, 12]]
[26, [6, 6, 26, 11]]
[27, [6, 6, 26, 12]]
[28, [7, 6, 30, 10]]
[29, [7, 6, 28, 11]]
[30, [6, 6, 26, 12]]
[31, [8, 9, 27, 11]]
[32, [8, 9, 29, 11]]
[33, [8, 9, 27, 11]]
[34, [8, 7, 28, 12]]
[35, [6, 6, 26, 12]]
[36, [8, 9, 27, 12]]
[37, [8, 9, 29, 15]]
[38, [8, 9, 27, 11]]
[39, [5, 9, 26, 12]]
[40, [6, 6, 26, 12]]
[41, [6, 6, 28, 11]]
[42, [7, 5, 30, 10]]
[43, [5, 7, 27, 11]]
[44, [5, 7, 27, 11]]
[45, [8, 9, 25, 11]]
[46, [5, 7, 27, 11]]
[47, [7, 6, 30, 10]]
[48, [7, 6, 27, 10]]
[49, [5, 6, 27, 11]]
[50, [7, 6, 30, 10]]
[51, [7, 6, 30, 10]]
[52, [5, 7, 27, 11]]
[53, [8, 7, 26, 11]]
[54, [6, 7, 27, 11]]
[55, [6, 6, 27, 10]]
[56, [7, 6, 27, 10]]
[57, [5, 7, 27, 11]]
[58, [6, 6, 26, 10]]
[59, [7, 6, 27, 10]]
[60, [7, 5, 30, 10]]
[61, [8, 9, 28, 11]]
[62, [8, 9, 25, 12]]
[63, [8, 9, 25, 11]]
[64, [6, 6, 26, 12]]
[65, [6, 7, 27, 11]]
[66, [6, 7, 27, 11]]
[67, [5, 7, 27, 11]]
[68, [8, 9, 25, 11]]
[69, [8, 9, 25, 11]]
[70, [6, 6, 26, 12]]
[71, [5, 6, 28, 11]]
[72, [5, 6, 27, 11]]
[73, [4, 6, 27, 11]]
[74, [6, 7, 26, 12]]
[75, [5, 6, 28, 11]]
[76, [4, 6, 27, 11]]
[77, [6, 6, 26, 11]]
[78, [8, 6, 28, 10]]
[79, [7, 5, 30, 10]]
[80, [7, 6, 29, 10]]
[81, [6, 6, 26, 12]]
[82, [5, 6, 27, 12]]
[83, [8, 9, 27, 11]]
[84, [8, 9, 25, 13]]
[85, [6, 6, 26, 12]]
[86, [5, 6, 27, 11]]
[87, [8, 9, 25, 11]]
[88, [7, 6, 27, 10]]
[89, [7, 6, 27, 10]]
[90, [6, 6, 28, 11]]
[91, [5, 6, 27, 11]]
[92, [6, 6, 29, 11]]
[93, [8, 9, 28, 11]]
[94, [8, 9, 25, 13]]
[95, [6, 9, 25, 11]]
[96, [8, 8, 28, 10]]
[97, [6, 6, 27, 10]]
[98, [6, 6, 27, 10]]
[99, [8, 5, 30, 10]]
[100, [8, 5, 29, 10]]
[101, [8, 9, 27, 11]]
[102, [8, 9, 25, 11]]
[103, [7, 6, 30, 10]]
[104, [5, 9, 27, 11]]
[105, [7, 8, 28, 11]]
[106, [6, 6, 28, 12]]
[107, [6, 7, 28, 11]]
[108, [7, 5, 30, 10]]
[109, [6, 6, 26, 11]]
[110, [8, 6, 29, 10]]
[111, [7, 6, 30, 10]]
[112, [5, 6, 27, 11]]
[113, [5, 9, 27, 11]]
[114, [7, 8, 28, 11]]
[115, [6, 6, 28, 12]]
[116, [6, 7, 28, 11]]
[117, [7, 5, 30, 10]]
[118, [6, 6, 26, 11]]
[119, [8, 6, 29, 10]]
[120, [8, 9, 25, 11]]
[121, [6, 6, 26, 12]]
[122, [6, 6, 26, 12]]
[123, [6, 9, 26, 12]]
[124, [6, 6, 26, 11]]
[125, [8, 5, 30, 10]]
[126, [8, 6, 28, 10]]
[127, [6, 6, 28, 10]]
[128, [8, 9, 26, 13]]
[129, [7, 6, 30, 10]]
[130, [8, 9, 27, 11]]
[131, [5, 6, 26, 12]]
[132, [8, 9, 26, 11]]
[133, [7, 6, 29, 10]]
[134, [8, 7, 31, 11]]
[135, [7, 6, 30, 10]]
[136, [7, 6, 27, 10]]
[137, [6, 6, 26, 12]]
[138, [6, 6, 26, 11]]
[139, [6, 6, 26, 12]]
[140, [6, 6, 26, 12]]
[141, [8, 6, 30, 10]]
[142, [6, 6, 29, 11]]
[143, [7, 6, 29, 10]]
[144, [7, 5, 30, 10]]
[145, [6, 6, 26, 12]]
[146, [7, 9, 27, 11]]
[147, [7, 6, 29, 10]]
[148, [7, 6, 29, 10]]
[149, [7, 6, 26, 10]]
[150, [5, 6, 27, 11]]
